Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-05-12,1011.127,16.000,2385.228,4.016,37.000,3.000,81.359,60.000,115.000,8562.980,113.000
2020-05-13,895.971,15.000,2278.985,3.434,37.000,2.000,82.007,62.000,105.000,7363.020,102.000
2020-05-14,875.713,17.000,2269.095,3.156,35.000,,77.829,60.000,80.000,6484.000,97.000
2020-05-15,904.672,18.000,2249.554,3.554,37.000,8.000,89.917,64.000,140.000,7896.003,117.000
2020-05-16,1202.629,15.000,2417.961,6.414,72.000,10.846,97.481,67.000,177.000,13932.000,134.000
2020-05-17,923.334,17.000,2434.688,3.842,30.000,22.647,75.801,56.000,139.000,8510.000,94.000
2020-05-18,993.802,14.000,2384.151,3.510,41.000,1.000,81.214,61.000,97.000,7320.000,91.000
2020-05-19,1205.192,18.000,2322.621,5.579,70.000,2.000,89.174,61.000,148.000,11720.000,139.000
2020-05-20,1188.118,18.000,2289.649,5.440,69.000,,86.792,59.000,149.000,11431.000,129.000
2020-05-21,1077.291,12.000,2228.461,5.059,70.000,,90.153,60.000,142.000,10882.000,127.000
2020-05-22,1085.128,16.000,2156.845,5.306,73.000,1.000,88.536,56.000,153.000,11222.000,127.000
2020-05-23,1246.577,16.000,2255.366,6.460,83.000,5.382,99.522,60.000,220.000,13863.000,124.000
2020-05-24,1156.873,17.000,2317.240,6.433,56.000,24.000,83.179,53.000,239.000,13859.000,95.500
2020-05-25,1126.884,16.000,2274.692,5.774,62.000,15.621,89.851,60.000,228.000,12873.000,126.000
2020-05-26,1085.611,17.000,2299.787,5.260,70.000,4.000,82.932,57.000,160.000,11246.000,115.000
2020-05-27,1461.710,17.000,2461.416,6.830,103.000,11.000,88.225,58.000,222.000,14615.000,127.000
2020-05-28,952.345,16.000,2255.757,4.908,66.000,,84.893,54.000,133.000,10807.000,120.000
2020-05-29,1335.045,19.000,2378.757,6.692,87.000,1.000,83.068,57.000,207.000,14499.000,113.000
2020-05-30,1066.135,16.000,2136.146,6.576,72.000,7.077,90.378,57.000,187.000,13933.000,124.000
2020-05-31,1321.665,17.000,2360.200,6.856,98.000,6.000,88.489,61.000,235.000,15196.000,118.000
2020-06-01,1313.791,18.000,2407.804,7.622,69.000,3.000,89.421,61.000,202.000,16276.000,104.000
2020-06-02,1265.678,18.000,2418.001,7.499,80.000,3.000,88.546,60.000,185.000,15514.692,119.000
2020-06-03,1143.704,18.000,2422.033,5.902,64.000,9.000,92.366,62.000,160.000,12661.000,125.000
2020-06-04,1419.096,18.000,2453.965,7.798,94.000,2.000,93.968,61.000,197.000,16621.000,122.000
2020-06-05,1098.559,17.000,2388.955,6.507,46.000,6.000,90.929,66.000,212.000,14196.000,120.000
2020-06-06,988.822,13.000,2607.207,3.918,36.000,1.000,98.893,72.000,132.000,8377.000,141.000
2020-06-07,1223.255,17.000,2234.785,5.594,84.000,,90.781,55.000,233.000,11287.521,101.000
2020-06-08,1349.940,18.000,2329.907,5.751,95.000,,91.449,58.000,236.000,12169.479,113.000
2020-06-09,1206.511,18.000,2362.987,5.522,83.000,,84.945,56.000,161.000,11488.000,113.000
2020-06-10,1280.981,17.000,2381.534,7.137,86.000,1.000,90.864,58.000,228.000,15159.000,111.000
2020-06-11,1208.514,17.000,2334.872,5.663,55.000,,80.620,55.000,192.000,11980.000,108.000
2020-06-12,1004.277,18.000,2302.497,4.781,42.000,2.841,80.110,56.000,152.000,10377.000,106.000
2020-06-13,926.939,18.000,2236.577,6.844,49.000,,77.532,54.000,208.000,15175.581,109.000
2020-06-14,1144.593,17.000,2247.773,7.757,90.000,,86.960,52.000,219.000,16269.000,116.000
2020-06-15,1081.558,18.000,2345.105,5.532,56.000,,74.961,51.000,200.000,11630.000,106.000
2020-06-16,1222.529,18.000,2379.844,6.607,72.000,,88.139,56.000,191.000,14081.000,111.000
2020-06-17,1127.282,19.000,2389.854,5.575,56.000,,81.067,58.000,151.000,11548.000,112.000
2020-06-18,864.769,15.000,2297.423,3.303,34.000,,74.962,56.000,119.000,6928.000,92.000
2020-06-19,1209.311,18.000,2317.389,7.831,37.000,6.000,90.940,58.000,308.000,17057.000,108.000
2020-06-20,1047.030,16.000,2220.978,6.431,48.000,,87.907,56.000,255.000,14300.000,107.000
2020-06-21,1095.160,17.000,2235.413,6.144,96.000,,77.168,54.000,221.000,13197.000,104.000
2020-06-22,1044.422,19.000,2351.990,5.022,50.000,,81.674,53.000,171.000,10445.000,110.000
2020-06-23,840.091,16.000,2266.414,3.447,31.000,,73.053,53.000,129.000,7372.000,116.000
2020-06-24,868.534,17.000,2211.114,3.372,47.000,,77.801,53.000,115.000,6826.000,96.000
2020-06-25,849.622,19.000,2297.497,2.600,38.000,,77.031,56.000,122.000,5661.000,90.500
2020-06-26,835.322,17.000,2249.037,3.626,32.000,,74.135,53.000,141.000,7500.000,90.000
2020-06-27,822.760,17.000,2238.901,3.748,33.000,,75.732,56.000,125.000,7593.000,96.500
2020-06-28,1042.850,16.000,2602.720,2.709,70.000,,89.449,59.000,126.000,5876.000,112.000
2020-06-29,889.136,16.000,2265.403,3.752,38.000,4.630,85.523,66.000,190.000,8244.000,98.500
